"ID",Title,Authors,Status in the selection phase,Status in the full-reading phase,Year,Journal/Conference,Inclusion or Exclusion Criteria (Selection Phase),Inclusion or Exclusion Criteria (Full-reading Phase),Method,Quality criteria,Collaborative activity,Object under evaluation,Type of approach
213,Exploratory Navigation for Runners Through Geographic Area Classification with Crowd-Sourced Data,"McGookin, David and Gkatzia, Dimitra and Hastie, Helen",REJECTED,UNCLASSIFIED,2015,17th International Conference on Human-Computer Interaction with Mobile Devices and Services,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
214,Exploring  Geotagged  Images for  Land-use  Classification,"Leung, Daniel and Newsam, Shawn",REJECTED,UNCLASSIFIED,2012,  Workshop on  Geotagging and  Its  Applications in  Multimedia,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
215,Exploring  Urban  Characteristics  Using  Movement  History of  Mass  Mobile  Microbloggers,"Fujisaka, Tatsuya and Lee, Ryong and Sumiya, Kazutoshi",REJECTED,UNCLASSIFIED,2010,11th  Workshop on  Mobile  Computing  Systems and Applications,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
216,Extracting  Scenic  Routes from  VGI  Data  Sources,"Alivand, Majid and Hochmair, Hartwig",REJECTED,UNCLASSIFIED,2013,2nd  ACM  SIGSPATIAL  International  Workshop on  Crowdsourced and  Volunteered  Geographic  Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
217,Extracting locations related to tags on folksonomy,"Baba, Y.a  and Ishikawa, F.b  and Honiden, S.c ",REJECTED,UNCLASSIFIED,2012,Transactions of the Japanese Society for Artificial Intelligence,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
218,Extraction of  Address  Data from  Unstructured  Text  Using  Free  Knowledge  Resources,"Schmidt, Sebastian and Manschitz, Simon and Rensing, Christoph and Steinmetz, Ralf",REJECTED,UNCLASSIFIED,2013,13th  International  Conference on  Knowledge  Management and  Knowledge  Technologies,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
219,EyeSpy: Supporting Navigation Through Play,"Bell, Marek and Reeves, Stuart and Brown, Barry and Sherwood, Scott and MacMillan, Donny and Ferguson, John and Chalmers, Matthew",REJECTED,UNCLASSIFIED,2009,SIGCHI Conference on  Human  Factors in  Computing  Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
220,Feature matching with an adaptive optical sensor in a ground target tracking system,"Uzkent, B.a  and Hoffman, M.J.b  and Vodacek, A.a  and Chen, B.a ",REJECTED,UNCLASSIFIED,2015,IEEE Sensors Journal,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
221,Finding  Geographically  Representative  Music via  Social  Media,"Parker, Charles and Joshi, Dhiraj and Lei, Phoury and Luo, Jiebo",REJECTED,UNCLASSIFIED,2011,1st  International  ACM  Workshop on  Music  Information  Retrieval with  User-centered and  Multimodal  Strategies,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
222,Finding  Similar  Destinations with  Flickr  Geotags,"Eynard, Davide and Inversini, Alessandro and Gentile, Leonardo",REJECTED,UNCLASSIFIED,2012, 27th  Annual  ACM  Symposium on  Applied  Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
223,Finding Non-Redundant Multi-Word Events on Twitter,"G unnemann, Nikou and Pfeffer, J urgen",REJECTED,UNCLASSIFIED,2015,International Conference on Advances in Social Networks Analysis and Mining ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
224,Fine-Grained Geolocalisation of Non-Geotagged Tweets,"Paraskevopoulos, Pavlos and Palpanas, Themis",REJECTED,UNCLASSIFIED,2015, International Conference on Advances in Social Networks Analysis and Mining ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
225,Flickr geotagged and publicly available photos: Preliminary study of its adequacy for helping quality control of Corine Land Cover,"Estima, J. and Painho, M.",REJECTED,UNCLASSIFIED,2013,Lecture Notes in Computer Science ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
226,Flickr:  Who is  Looking?,"van Zwol, Roelof",REJECTED,UNCLASSIFIED,2007,International  Conference on  Web  Intelligence,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
227,FootSLAM: Pedestrian simultaneous localization and mapping without exteroceptive sensorshitchhiking on human perception and cognition,"Angermann, M. and Robertson, P.",REJECTED,UNCLASSIFIED,2012,Proceedings of the IEEE,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
228,Friendship and trust in the social surveillance network,"Westcott, H.a  and Owen, S.b ",REJECTED,UNCLASSIFIED,2013,Surveillance and Society,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
229,Fusing text and frienships for location inference in online social networks,"Gu, H. and Hang, H. and Lv, Q. and Grunwald, D.",REJECTED,UNCLASSIFIED,2012,International Conference on Web Intelligence,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
230,Gender-based  Models of  Location from  Flickr,"O'Hare, Neil and Murdock, Vanessa",REJECTED,UNCLASSIFIED,2012,  Workshop on  Geotagging and  Its  Applications in  Multimedia,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
231,Generating verified and validated geospatial data from open-source web 2.0 content,"Bitters, B.",REJECTED,UNCLASSIFIED,2014," Annual Conference: Geospatial Power in Our Pockets, Co-Located with Joint Agency Commercial Imagery Evaluation Workshop",(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
232,Generation of  Landmark-based  Navigation  Instructions from  Open-source  Data,"Drager, Markus and Koller, Alexander",REJECTED,UNCLASSIFIED,2012,13th  Conference of the  European  Chapter of the  Association for  Computational  Linguistics,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
233,Generation of a tailored routing network for disabled people based oncollaboratively collected geodata,"Neis, Pascal and Zielstra, Dennis",REJECTED,UNCLASSIFIED,2014,Applied Geography,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
234,Generation of accurate lane-level maps from coarse prior maps and lidar,"Joshi, A. and James, M.R.",REJECTED,UNCLASSIFIED,2015,IEEE Intelligent Transportation Systems Magazine,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
235,Geocoding quality and implications for spatial analysis,"Zandbergen, P.A.",REJECTED,UNCLASSIFIED,2009,Geography Compass,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
236,GeoEvents - An Interactive Tool to Analyze and Visualize Spatial Information from the Social Web,"Sabty, C.; Memmel, M. & Abdennadher, S.",REJECTED,UNCLASSIFIED,2013,International Conference on Social Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
237,GeoFolk: Latent Spatial Semantics in Web 2.0 Social Media,"Sizov, Sergej",REJECTED,UNCLASSIFIED,2010,Third  ACM  International  Conference on  Web  Search and  Data  Mining,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
238,Geographic  Aspects of  Tie  Strength and  Value of  Information in  Social  Networking,"Groh, Georg and Straub, Florian and Eicher, Johanna and Grob, David",REJECTED,UNCLASSIFIED,2013,6th ACM  SIGSPATIAL  International  Workshop on  Location- Based  Social  Networks,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
239,Geo-location estimation of Flickr images: Social web based enrichment,"Hauff, C. and Houben, G.-J.",REJECTED,UNCLASSIFIED,2012,Lecture Notes in Computer Science ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
240,Geo-reCAPTCHA: Crowdsourcing large amounts of geographic information from earth observation data ,Florian Hillen and Bernhard Hofle,REJECTED,UNCLASSIFIED,2015,International Journal of Applied Earth Observation and Geoinformation ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
241,Georeferencing Flickr photos using language models at different levels of granularity: An evidence based approach ,Olivier Van Laere and Steven Schockaert and Bart Dhoedt,REJECTED,UNCLASSIFIED,2012,"Web Semantics: Science, Services and Agents on the World Wide Web ","(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
242,GeoScope: Online Detection of Geo-correlated Information Trends in Social Networks,"Budak, Ceren and Georgiou, Theodore and Agrawal, Divyakant and El Abbadi, Amr",REJECTED,UNCLASSIFIED,2013,VLDB Endowment,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
243,Geosocial Search: Finding Places Based on Geotagged Social-Media Posts,"Pat, Barak and Kanza, Yaron and Naaman, Mor",REJECTED,UNCLASSIFIED,2015,24th International Conference on World Wide Web,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
244,Geotagging one hundred million Twitter accounts with total variation minimization,"Compton, R. and Jurgens, D. and Allen, D.",REJECTED,UNCLASSIFIED,2014,"International Conference on Big Data, IEEE Big Data","(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
245,Geotagging social media content with a refined language modelling approach,"Kordopatis-Zilos, G. and Papadopoulos, S. and Kompatsiaris, Y.",REJECTED,UNCLASSIFIED,2015,Lecture Notes in Computer Science ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
246,Geotagging Twitter Messages in Crisis Management,"Ghahremanlou, Lida and Sherchan, Wanita and Thom, James A.",REJECTED,UNCLASSIFIED,2015,Computer Journal,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
247,GeoTime-based Tag Ranking Model for Automatic Image Annotation,"Mitran, Madalina and Cabanac, Guillaume and Boughanem, Mohand",REJECTED,UNCLASSIFIED,2014,29th  Annual  ACM  Symposium on  Applied  Computing,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
248,Geo-visual  Ranking for  Location  Prediction of  Social  Images,"Li, Xinchao and Larson, Martha and Hanjalic, Alan",REJECTED,UNCLASSIFIED,2013,3rd ACM Conference on  International  Conference on  Multimedia  Retrieval,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
249,Geo-wiki.org: The use of crowdsourcing to improve global land cover,"Fritz, S.a  and McCallum, I.a  and Schill, C.b  and Perger, C.c  and Grillmayer, R.c  and Achard, F.d  and Kraxner, F.a  and Obersteiner, M.a ",REJECTED,UNCLASSIFIED,2009,Remote Sensing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
